,id_bacha,id_interno,name_interno,Unnamed: 3,precio_bacha,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
274,LL056.0243,2258,POETT LIQUIDO X 1800CC BEBE,21.0,0.0,0.0,215.0,140.0,0.0,215.0,$,,,LIMPIADORES Y DESODORANTES DE PISO,,EL BACHA,POETT,,,,,,,POETT LIQUIDO X 1800CC
275,LL056.0255,2260,POETT LIQUIDO X 1800CC LAVANDA,21.0,0.0,0.0,215.0,140.0,0.0,215.0,$,,,LIMPIADORES Y DESODORANTES DE PISO,,EL BACHA,POETT,,,,,,,POETT LIQUIDO X 1800CC
276,LL056.0262,2261,POETT LIQUIDO X 1800CC PRIMAVERA **,21.0,0.0,0.0,215.0,140.0,0.0,215.0,$,,,LIMPIADORES Y DESODORANTES DE PISO,,EL BACHA,POETT,,,,,,,POETT LIQUIDO X 1800CC
277,LL056.0265,2262,POETT LIQUIDO X 1800CC SOLO PARA TI,21.0,0.0,0.0,215.0,140.0,0.0,215.0,$,,,LIMPIADORES Y DESODORANTES DE PISO,,EL BACHA,POETT,,,,,,,POETT LIQUIDO X 1800CC
278,LL056.0174,2253,POETT LIQUIDO X 900CC ALEGRIAS **,21.0,71.5,45.0,103.68,0.0,0.0,102.0,$,,,LIMPIADORES Y DESODORANTES DE PISO,,EL BACHA,POETT,,,,,,,POETT LIQUIDO X 900CC
279,LL056.0174,2250,POETT LIQUIDO X 900CC ALGODON **,21.0,71.5,45.0,103.68,0.0,0.0,102.0,$,,,LIMPIADORES Y DESODORANTES DE PISO,,EL BACHA,POETT,,,,,,,POETT LIQUIDO X 900CC
280,LL056.0180,2252,POETT LIQUIDO X 900CC BEBE **,21.0,71.5,45.0,103.68,0.0,0.0,102.0,$,,,LIMPIADORES Y DESODORANTES DE PISO,,EL BACHA,POETT,,,,,,,POETT LIQUIDO X 900CC
281,LL056.0186,2254,POETT LIQUIDO X 900CC ESPIRITU JOVEN,21.0,71.5,45.0,103.68,67.0,0.0,102.0,$,,,LIMPIADORES Y DESODORANTES DE PISO,,EL BACHA,POETT,,,,,,,POETT LIQUIDO X 900CC
282,LL056.0189,2255,POETT LIQUIDO X 900CC LAVANDA **,21.0,71.5,45.0,103.68,0.0,0.0,0.0,$,,,LIMPIADORES Y DESODORANTES DE PISO,,EL BACHA,POETT,,,,,,,POETT LIQUIDO X 900CC
283,LL056.0189,2251,POETT LIQUIDO X 900CC LOVE EVOLUTION **,21.0,71.5,45.0,103.68,0.0,0.0,0.0,$,,,LIMPIADORES Y DESODORANTES DE PISO,,EL BACHA,POETT,,,,,,,POETT LIQUIDO X 900CC
